Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
10010008938,1,0,0,0,40000000,0,0,1,1401
10010008941,1,0,0,4500000,32000000,0,0,1,1401
10010008941,2,0,0,4500000,0,0,0,1,1401
10010009329,1,0,0,22000000,10000000,0,0,1,1401
10010009332,1,0,0,0,40000000,150000000,0,1,1401
10010009335,1,444000000,0,0,0,0,0,1,1401
10010009335,3,80000000,0,0,0,0,0,1,1401
10010009338,1,0,0,22000000,10000000,0,0,1,1401
10010009341,1,616000000,0,13000000,10000000,0,0,1,1401
10011009727,1,0,0,0,18000000,0,0,1,1401
10011009729,1,0,0,5000000,41000000,0,0,1,1401
10011009735,1,0,0,5500000,25000000,0,0,1,1401
10011009736,1,0,200000000,0,18000000,0,0,1,1401
10011009738,1,0,0,4800000,41000000,0,0,1,1401
10011009738,2,0,0,4800000,0,0,0,1,1401
10011009738,3,0,0,4500000,0,0,0,1,1401
10011009738,4,0,0,4500000,96000000,0,0,1,1401
10011009741,1,0,0,4900000,40000000,0,150000000,1,1401
10011009741,2,0,0,4900000,0,0,0,1,1401
10012010128,1,0,0,0,41000000,0,0,1,1401
10012010129,1,0,0,0,32000000,0,0,1,1401
10012010134,1,0,0,0,35000000,0,0,1,1401
10012010136,1,0,0,0,55000000,0,0,1,1401
10012010138,1,0,0,5000000,16000000,0,0,1,1401
10012010138,2,0,0,5000000,0,0,0,1,1401
10012010141,1,0,0,0,40000000,0,0,1,1401
10012010141,2,0,0,5000000,14400000,0,0,1,1401
10012010141,3,0,0,5000000,0,0,0,1,1401
10013010626,1,0,0,0,108360100,0,0,1,1401
10013010627,1,0,0,0,0,0,100000000,1,1401
10013010635,1,0,0,0,16560000,0,0,1,1401
10013010636,1,0,0,40000000,10000000,0,0,1,1401
10013010638,1,0,0,15000000,26560000,0,0,1,1401
10013010641,1,0,0,15000000,26560000,0,0,1,1401
10101010826,1,836000000,0,4850000,17940000,0,0,1,1401
10101010827,1,0,264000000,4900000,18160000,0,40000000,1,1401
10101010827,2,0,0,4900000,0,0,0,1,1401
10101010827,3,0,0,4860000,0,0,0,1,1401
10101010827,4,0,0,4800000,0,0,0,1,1401
10101010835,1,844000000,0,0,0,0,0,1,1401
10101010835,2,820000000,0,0,0,0,0,1,1401
10101010836,1,760000000,0,0,0,0,0,1,1401
10101010836,2,712000000,0,0,0,0,0,1,1401
10101010838,1,0,0,5400000,79150000,0,0,1,1401
10101010838,3,0,0,0,0,0,8000000,1,1401
10101010841,1,0,0,4600000,104650000,0,25000000,1,1401
10101010841,2,0,0,10000000,7150000,0,0,1,1401
10101011225,1,0,0,0,18000000,0,0,1,1401
10101011225,3,0,0,0,0,0,10000000,1,1401
10101011226,1,0,0,0,12600000,0,30000000,1,1401
10101011234,1,0,0,1200000000,0,0,0,1,1401
10101011238,1,0,0,0,13900000,0,0,1,1401
10101011241,1,836000000,0,5200000,23660000,0,0,1,1401
10101011241,2,0,0,5000000,0,0,0,1,1401
10101011629,1,0,0,0,26630000,0,0,1,1401
10101011632,1,0,0,5370000,46370000,0,0,1,1401
10101011632,2,0,0,5370000,0,0,0,1,1401
10101011632,3,0,0,5370000,0,0,0,1,1401
10101011632,4,0,0,0,12600000,0,0,1,1401
10101011635,1,0,0,5000000,28630000,0,0,1,1401
10101011635,2,0,0,5200000,0,0,0,1,1401
10101011635,3,0,0,4900000,0,0,0,1,1401
10101011638,1,0,0,4300000,32480000,0,0,1,1401
10101011638,2,0,0,4300000,0,0,0,1,1401
10101011638,3,0,0,0,0,0,25000000,1,1401
10101011641,1,0,0,5200000,42220000,0,35000000,1,1401
10101011641,2,0,0,5200000,0,0,0,1,1401
10102012027,3,0,0,0,0,0,7000000,1,1401
10102012028,1,0,0,0,94390000,0,15000000,1,1401
10102012028,2,0,0,0,0,0,20000000,1,1401
10102012033,1,0,0,5000000,61590000,0,0,1,1401
10102012033,2,0,0,5200000,0,0,0,1,1401
10102012034,1,0,0,5000000,18160000,0,0,1,1401
10102012034,2,0,0,5200000,0,0,0,1,1401
10102012034,3,0,0,5200000,25000000,0,0,1,1401
10102012034,4,0,0,4980000,0,0,0,1,1401
10102012038,1,0,0,5000000,10190000,0,0,1,1401
10102012038,2,0,0,5000000,0,0,0,1,1401
10102012041,1,0,0,9800000,56650000,0,0,1,1401
10102012428,1,0,0,0,33860000,0,0,1,1401
10102012429,1,0,180000000,9800000,38600000,0,0,1,1401
10102012431,1,0,110000000,0,12000000,0,75000000,1,1401
10102012436,1,944000000,0,3500000,23660000,0,0,1,1401
10102012436,2,0,0,3500000,0,0,0,1,1401
10102012438,1,0,0,0,23660000,0,0,1,1401
10102012441,1,0,0,1500000,23660000,0,25000000,1,1401
10102012441,2,0,0,5000000,0,0,0,1,1401
10103012826,1,0,0,5200000,32480000,0,0,1,1401
10103012826,2,0,0,5200000,0,0,0,1,1401
10103012826,3,0,0,5200000,0,0,0,1,1401
10103012830,1,777500000,0,4500000,32480000,0,0,1,1401
10103012830,2,748000000,0,4500000,0,0,0,1,1401
10103012830,3,0,0,4500000,0,0,0,1,1401
10103012832,1,980000000,0,5000000,0,0,0,1,1401
10103012832,2,856000000,0,5000000,0,0,0,1,1401
10103012832,3,0,0,5000000,0,0,0,1,1401
10103012838,1,0,0,5000000,37780000,0,145000000,1,1401
10103012838,2,0,0,0,0,0,15000000,1,1401
10103012838,3,0,0,0,0,0,15000000,1,1401
10103012841,1,0,0,5300000,42220000,0,0,1,1401
10103012841,2,0,0,5200000,0,0,0,1,1401
10103012841,3,0,0,5300000,0,0,10000000,1,1401
10103012841,4,0,0,0,0,0,10000000,1,1401
10103013226,1,0,0,0,7150000,0,0,1,1401
10103013229,1,0,0,0,17940000,0,0,1,1401
10103013229,3,0,0,0,0,0,10000000,1,1401
10103013232,1,844000000,180000000,5200000,0,0,0,1,1401
10103013232,2,0,0,4800000,0,0,0,1,1401
10103013232,3,0,0,5000000,0,0,0,1,1401
10103013234,1,0,0,0,22360000,0,0,1,1401
10103013238,1,456400000,890000000,5600000,8650000,0,0,1,1401
10103013238,2,0,0,5300000,8650000,0,0,1,1401
10103013626,1,0,0,0,39040000,0,0,1,1401
10103013629,1,1052000000,0,0,23660000,0,0,1,1401
10103013629,3,0,0,0,11900000,0,0,1,1401
10103013631,1,1053500000,0,3400000,9000000,0,0,1,1401
10103013631,2,0,0,3400000,0,0,0,1,1401
10103013631,3,0,0,3400000,0,0,0,1,1401
10103013632,1,1857500000,0,5300000,28201000,0,0,1,1401
10103013632,2,0,0,5300000,0,0,0,1,1401
10103013638,1,0,0,5100000,23660000,0,0,1,1401
10103013638,2,0,0,5000000,0,0,0,1,1401
10104014026,1,0,0,5300000,22630000,0,0,1,1401
10104014026,2,0,0,5200000,0,0,0,1,1401
10104014027,1,0,0,5200000,18000000,0,0,1,1401
10104014027,2,0,0,5000000,0,0,0,1,1401
10104014027,3,0,0,5400000,0,0,0,1,1401
10104014033,1,0,250000000,0,26630000,0,75000000,1,1401
10104014036,1,0,0,5300000,26630000,0,50000000,1,1401
10104014036,2,0,0,5100000,0,0,20000000,1,1401
10104014036,3,0,0,0,0,0,25000000,1,1401
10104014036,4,0,0,0,0,0,25000000,1,1401
10104014038,1,0,0,7500000,70950000,0,0,1,1401
10104014041,1,0,0,8000000,54850000,0,0,1,1401
10104014426,1,0,120000000,0,26360000,0,0,1,1401
10104014432,1,0,0,5300000,17940000,0,0,1,1401
10104014432,2,0,0,5300000,0,0,0,1,1401
10104014432,3,0,0,0,0,0,6000000,1,1401
10104014436,1,640000000,0,5300000,13390000,0,0,1,1401
10104014436,2,0,0,5300000,0,0,0,1,1401
10104014438,1,616000000,0,5000000,7150000,0,0,1,1401
10104014441,1,985600000,0,5200000,26650000,0,0,1,1401
10104014441,2,0,0,5200000,0,0,0,1,1401
10104014441,3,0,0,5100000,0,0,0,1,1401
10104014441,4,0,0,5100000,0,0,0,1,1401
10104014826,1,0,0,5100000,13900000,0,35000000,1,1401
10104014829,1,0,0,0,33860000,0,0,1,1401
10104014829,3,0,0,0,0,0,15000000,1,1401
10104014831,1,0,0,5000000,39860000,0,0,1,1401
10104014831,2,0,0,5000000,0,0,0,1,1401
10104014836,1,0,0,0,44290000,0,0,1,1401
10104014838,1,0,0,0,23660000,0,0,1,1401
10104014841,1,0,0,5300000,17300000,0,0,1,1401
10104014841,2,0,0,5300000,0,0,0,1,1401
10104014841,3,0,0,5300000,360000000,0,0,1,1401
10105015227,1,0,0,0,51850000,0,0,1,1401
10105015232,1,776000000,0,0,22630000,0,0,1,1401
10105015232,2,736000000,0,4800000,0,0,0,1,1401
10105015235,1,0,0,0,24000000,0,0,1,1401
10105015235,2,0,0,4700000,0,0,0,1,1401
10105015235,3,0,0,0,0,0,15000000,1,1401
10105015235,4,0,0,0,0,0,20000000,1,1401
10105015238,1,0,0,0,0,0,550000000,1,1401
10105015238,2,0,0,0,0,0,150000000,1,1401
10105015241,1,1040000000,0,5000000,0,0,0,1,1401
10105015241,2,0,0,5000000,0,0,0,1,1401
10105015626,1,856000000,0,5400000,7150000,0,0,1,1401
10105015630,1,616000000,0,0,7150000,0,0,1,1401
10105015632,1,0,0,1000000000,0,0,0,1,1401
10105015632,3,0,0,0,0,0,35000000,1,1401
10105015632,4,0,0,0,0,0,35000000,1,1401
10105015635,3,0,0,0,0,0,35000000,1,1401
10105015638,1,198000000,0,0,7150000,0,0,1,1401
10105015641,1,0,0,5300000,26650000,0,0,1,1401
10105015641,2,0,0,5300000,0,0,0,1,1401
10105015641,3,0,0,5300000,0,0,0,1,1401
10105015641,4,0,0,5300000,0,0,5000000,1,1401
10105015641,5,0,0,5300000,0,0,0,1,1401
10105016025,1,0,0,0,34560000,0,0,1,1401
10105016029,1,0,0,0,43940000,0,0,1,1401
10105016032,1,0,0,0,59230000,0,15000000,1,1401
10105016035,1,0,0,0,23660000,0,0,1,1401
10105016038,1,920000000,0,5000000,23660000,0,0,1,1401
10105016038,2,796000000,0,4900000,0,0,0,1,1401
10105016041,1,920000000,0,0,23660000,0,0,1,1401
10105016425,1,0,0,4200000,34630000,0,35000000,1,1401
10105016425,2,0,0,4200000,0,0,5000000,1,1401
